OID_,TAZID,CO_TAZID,DEVACRES,HH,JOB,AUTO_JB,AUTO_HH,TRAN_JB,TRAN_HH,COMP_AUTO,COMP_TRAN,AUTO_JB_WT,AUTO_HH_WT,TRAN_JB_WT,TRAN_HH_WT
,2584,492584,184.860000000000014,468.699999999999989,138.199999999999989,87637,53955,0,0,82916,0,41075557,7456587,0,0
,2585,492585,207.039999999999992,444.600000000000023,0.000000000000000,81452,51006,0,0,81452,0,36213747,0,0,0
,2586,492586,381.779999999999973,2.600000000000000,0.000000000000000,76143,48587,0,0,76143,0,197972,0,0,0
,2587,492587,125.930000000000007,93.400000000000006,94.200000000000003,96744,58743,3447,2100,83140,2965,9035917,5533605,321974,197791
,2588,492588,134.219999999999999,22.600000000000001,65.900000000000006,87052,53655,1293,821,66440,1002,1967375,3535857,29221,54109
,2589,492589,396.810000000000002,8.400000000000000,129.199999999999989,80319,49831,1245,790,53039,838,674679,6438127,10459,102125
,2590,492590,382.110000000000014,10.000000000000000,9.600000000000000,80604,50328,2332,1487,70106,2039,806036,483148,23324,14275
,2591,492591,251.240000000000009,35.799999999999997,0.000000000000000,74387,48232,0,0,74387,0,2663067,0,0,0
,2592,492592,86.530000000000001,0.000000000000000,2483.000000000000000,112071,64617,6278,2432,64617,2432,0,160442827,0,6038166
,2593,492593,43.520000000000003,80.799999999999997,469.699999999999989,111897,64672,5015,1886,75879,2628,9041268,30376629,405205,885735
,2594,492594,38.840000000000003,51.600000000000001,251.199999999999989,116276,67007,10703,4009,80354,5823,5999866,16832051,552252,1007176
,2595,492595,84.640000000000001,284.500000000000000,360.399999999999977,106303,62107,4627,1927,88099,3515,30243112,22383453,1316470,694527
,2596,492596,85.540000000000006,328.699999999999989,62.100000000000001,108820,63396,9693,3857,104524,9141,35769123,3936895,3186091,239489
,2597,492597,40.880000000000003,183.400000000000006,270.600000000000023,109544,63880,12094,4827,89029,8829,20090429,17286034,2218000,1306129
,2598,492598,85.569999999999993,284.800000000000011,631.600000000000023,99925,59300,4991,2653,77549,3703,28458677,37453756,1421404,1675797
,2599,492599,84.849999999999994,283.899999999999977,32.399999999999999,101270,60028,7213,3437,98822,6989,28750528,1944916,2047831,111365
,2600,492600,85.519999999999996,266.500000000000000,86.500000000000000,108933,64689,6810,3301,102201,6276,29030572,5595584,1814964,285521
,2601,492601,65.409999999999997,192.599999999999994,141.900000000000006,103027,61807,5166,3040,91097,4551,19842990,8770463,994973,431352
,2602,492602,70.019999999999996,230.599999999999994,52.200000000000003,105183,62944,5066,2963,100485,4832,24255153,3285666,1168104,154658
,2603,492603,90.159999999999997,295.199999999999989,18.600000000000001,104357,62359,4267,2481,102943,4207,30806060,1159869,1259724,46139
,2604,492604,171.990000000000009,291.500000000000000,124.599999999999994,96954,58597,2191,1312,89622,2023,28262066,7301232,638699,163458
,2605,492605,74.640000000000001,172.500000000000000,0.000000000000000,98511,59509,0,0,98511,0,16993096,0,0,0
,2606,492606,101.230000000000004,245.099999999999994,0.000000000000000,89943,54894,0,0,89943,0,22045096,0,0,0
,2607,492607,67.219999999999999,158.000000000000000,43.700000000000003,108644,63310,1602,972,102631,1518,17165758,2766665,253063,42459
,2608,492608,103.819999999999993,247.000000000000000,800.200000000000045,107141,62322,1587,1062,78380,1250,26463845,49869991,392101,849665
,2609,492609,139.650000000000006,223.699999999999989,492.399999999999977,96372,57852,1355,812,75228,1057,21558527,28486483,303175,399814
,2610,492610,69.709999999999994,49.000000000000000,275.199999999999989,95094,56330,2802,1704,65773,1971,4659625,15502004,137280,468930
,2611,492611,61.649999999999999,208.400000000000006,532.700000000000045,98632,58438,4512,2776,75094,3495,20554909,31130068,940250,1478707
,2612,492612,145.379999999999995,287.300000000000011,128.800000000000011,85750,52351,0,0,79116,0,24636081,6742848,0,0
,2613,492613,116.280000000000001,311.399999999999977,42.399999999999999,89948,54841,1338,798,87490,1301,28009861,2325258,416796,33851
,2614,492614,87.430000000000007,315.000000000000000,366.000000000000000,96258,57974,3134,1887,81284,2646,30321406,21218610,987264,690728
,2615,492615,79.640000000000001,163.099999999999994,1246.700000000000045,92431,55801,4792,3199,62810,3504,15075545,69566604,781538,3988474
,2616,492616,147.979999999999990,109.299999999999997,0.000000000000000,87747,53963,0,0,87747,0,9590718,0,0,0
,2617,492617,155.050000000000011,122.400000000000006,625.399999999999977,97063,58925,3274,2041,68896,2364,11880456,36851669,400745,1276616
